field,norm,order,gci21,gci32
density,L1,0.6306436826991184,0.028361252525562135,0.043910468607085675
density,L2,0.4439797317282621,0.1051674666694044,0.14306474636265548
density,LINF,0.20492515577797552,1.3220995901644352,1.523887088332186
pressure,L1,0.6004778963169787,0.006036396834777907,0.009152497970109578
pressure,L2,0.36847818841741997,0.024894177767376034,0.03213814263859042
pressure,LINF,0.18291701400501298,0.4435493826553487,0.5035069702578036
