region,field,reference_value,cell_count,shock_position_mm,transition_half_width_mm,l1_abs,linf_abs,l1_rel,linf_rel
shocked,density,1.7755095246902164,2758,9.045640605265962,2.7,0.003367241585216412,0.010990130360216455,0.0018964931127609212,0.0061898459047320335
shocked,pressure,159059.985,2758,9.045640605265962,2.7,229.78015192855673,478.38586399998167,0.0014446131874623072,0.0030075814731152007
shocked,velocity_x,110.6272323530803,2758,9.045640605265962,2.7,0.28897614185974163,0.4898016639196925,0.0026121609997205664,0.004427496318053323
shocked,velocity_y,0.0,2758,9.045640605265962,2.7,0.0,0.0,,
ambient,density,1.29,93378,9.045640605265962,2.7,1.2076419472572582e-05,0.003388817929999899,9.361565482614404e-06,0.0026269906434107744
ambient,pressure,101325.0,93378,9.045640605265962,2.7,1.3331680886076203,374.5227350000059,1.3157346050901755e-05,0.0036962520108562145
ambient,velocity_x,0.0,93378,9.045640605265962,2.7,0.003111085750195138,0.873410199624,,
ambient,velocity_y,0.0,93378,9.045640605265962,2.7,0.0,0.0,,
