name,description,wall_time_mean_s,wall_time_std_s,wall_time_cv_percent,wall_time_median_s,wall_time_min_s,wall_time_max_s,ci95_halfwidth_s,best_wall_time_s,wall_time_s,timing_samples_s,repetitions,warmup_runs,time_ratio,density_linf_vs_baseline,pressure_linf_vs_baseline,velocity_x_linf_vs_baseline,velocity_y_linf_vs_baseline,binary,snapshot,cppflags,cxxflags
baseline,Cache-friendly baseline with std::array state storage and cached reconstruction.,20.222277138886664,0.2566404442971873,1.2690976517361516,20.3177018329734,19.809447832987644,20.59103641693946,0.16767175694082903,19.809447832987644,20.222277138886664,20.487993958;19.984260125;20.325959917;20.591036417;20.021978792;20.317701833;20.359735500;20.102379875;19.809447833,9,1,1.0,0.0,0.0,0.0,0.0,build/variants/baseline/shock_bubble_solver,output/compiler_suite_repeated/performance/baseline_run08_0001.csv,,-O3 -march=native -std=c++17 -Wall -Wextra -Wpedantic
compiler_o1,Compiler sensitivity study with -O1.,21.570943916578674,0.32424756076818345,1.5031681600125906,21.58684079197701,21.112268291064538,22.207678125007078,0.21184173970187983,21.112268291064538,21.570943916578674,21.185031958;21.652716834;21.711949041;21.473726708;22.207678125;21.741751125;21.586840792;21.466532375;21.112268291,9,1,1.0666921320694678,0.0,0.0,0.0,0.0,build/variants/compiler_o1/shock_bubble_solver,output/compiler_suite_repeated/performance/compiler_o1_run08_0001.csv,,-O1 -std=c++17 -Wall -Wextra -Wpedantic
compiler_o2,Compiler sensitivity study with -O2.,20.21492947224114,0.4818621251082468,2.3836943174594456,20.106060333084315,19.728752583032474,21.093141374993138,0.3148165884040545,19.728752583032474,20.21492947224114,19.763332875;20.106060333;19.770533042;20.173129750;20.836896750;20.385370834;20.077147708;21.093141375;19.728752583,9,1,0.999636654833921,0.0,0.0,0.0,0.0,build/variants/compiler_o2/shock_bubble_solver,output/compiler_suite_repeated/performance/compiler_o2_run08_0001.csv,,-O2 -std=c++17 -Wall -Wextra -Wpedantic
compiler_o3_generic,Compiler sensitivity study with -O3 and no -march=native.,20.142780231337788,0.23660085477875256,1.1746186577096893,20.105051125050522,19.813680916908197,20.523348708054982,0.15457922512211833,19.813680916908197,20.142780231337788,19.845058917;20.105051125;20.523348708;20.342725375;20.293471791;20.100447208;20.271802666;19.989435375;19.813680917,9,1,0.9960688449177661,0.0,0.0,0.0,0.0,build/variants/compiler_o3_generic/shock_bubble_solver,output/compiler_suite_repeated/performance/compiler_o3_generic_run08_0001.csv,,-O3 -std=c++17 -Wall -Wextra -Wpedantic
