fraction_between_helium_and_air,threshold_kg_m3,t3_left_from_initial_left_mm,t3_right_from_initial_left_mm,fig3_jet_mean_abs_difference_mm,fig3_downstream_mean_abs_difference_mm,production_fine_left_shift_mm,production_fine_right_shift_mm
0.45,0.6982,34.49663316042547,60.096603230999285,1.451075081815823,4.063593485698545,0.6979230602219673,0.9998670918629102
0.5,0.752,34.046825789456705,60.45925829628677,1.899313102416622,3.7036335321219296,0.9061887256153369,0.8682765332278279
0.55,0.8058000000000001,33.630165821114666,60.791041070186154,2.315008381718097,3.3720797325477276,1.103378289028825,0.745106463696942
