field,eh_l1,eh_l2,eh_linf,eh2_l1,eh2_l2,eh2_linf,order_l1,order_l2,order_linf
density,0.01925932894528249,0.041242904322820566,0.18606850215054946,0.012439372865218833,0.03031782375460088,0.16142999853420045,0.6306436826991184,0.4439797317282621,0.20492515577797552
pressure,0.0037797527361308533,0.007481510848857895,0.05444997009703731,0.002492880908265337,0.005795171896971504,0.04796607008196386,0.6004778963169787,0.36847818841741997,0.18291701400501298
