grid,left_crossing_mm,right_crossing_mm,min_density,min_density_x_mm,max_velocity_x,max_velocity_x_x_mm
250x99,66.71456613978225,85.24771322273438,0.46068989861,76.05000000000001,206.247703237,65.25
500x197,68.3364346710785,86.34833067051397,0.322647318403,77.625,221.972948886,64.57499999999999
1000x394,69.24262339669383,87.2166072037418,0.29171576626,77.9625,232.058400577,65.1375
