interface,coarse_mm,medium_mm,fine_mm,eh_mm,eh2_mm,order
left,66.71456613978225,68.3364346710785,69.24262339669383,1.6218685312962435,0.9061887256153369,0.8397734326732378
right,85.24771322273438,86.34833067051397,87.2166072037418,1.100617447779598,0.8682765332278279,0.3420866066118814
