interface,order,extrapolated_mm,production_relative_error,fine_relative_error,gci21,gci32,asymptotic_ratio
left,0.8397734326732378,70.39003317396296,0.029174563646094265,0.01630074210127742,0.020713574258581658,0.037564121408458606,1.013260696581217
right,0.3420866066118814,90.46142587723527,0.045467945777277016,0.035869638821490565,0.04650517225912944,0.05954219344459533,1.010055510355388
